"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-08",,"80","88","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-09",,"76",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-10",,"77",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-11","0.51","77","85","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-12","0.00","81","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-13",,"78","85","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-14",,"79","87","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-15","0.02","79",,"71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-16","0.12","78","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-17","0.00","78","86","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-18",,"80","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-19",,"78","85","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-20",,"80","89","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-21","0.03","77",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-22","0.00","78","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-23",,"79","85",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-24",,"79","88","69"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-25",,"79","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-26",,"79","86","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-27",,"80","88","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-28",,"76","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-29",,"77","86","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-06-30",,"77","86","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-01",,"79","87","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-02",,"78","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-03",,"78","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-04",,"77","83","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-05",,"75",,"71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-06",,"77","83","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-07",,"78",,"71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-08",,"78",,"72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-09","0.02","79","86","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-10","0.00","78","85",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-11",,"78","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-12",,"80","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-13","0.55","79","86",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-14","0.00","78",,"73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-15",,"79","86","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-16",,"76","81","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-17","0.01","77","83","70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-18","0.00","77","85",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-19","0.01","77","84",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-20","0.00","77","85",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-21","0.00","75","83","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-22","1.61","74","79","69"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-23","0.00","74","78","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-24","0.01","75",,"70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-25","0.00","77","83",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-26",,"76","84","70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-27",,"75",,"71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-28",,"74","79",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-29",,"76","85",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-30",,"74",,"68"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-07-31",,"74",,"68"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-01",,"74","80","69"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-02",,"77","84","70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-03","0.12","77","85","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-04","0.00","75",,"72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-05",,"75","80","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-06",,"76","83","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-07","0.24","75",,"70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-08","0.00","76","84",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-09","0.08","76","84","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-10","0.00","75","80",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-11",,"76","83",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-12",,"76","83","70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-13",,"74",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-08-14",,"76","87","70"
