Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,24.10.24,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,53.12754059,58.07336044,61.36737823,67.67649078,70.03347015,73.49450684,75.58598328,73.70536804,68.59470367,48033
Cote d'Ivoire,CIV,Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,88.80256653,100,100,100,100,100,100,100,100,
Cote d'Ivoire,CIV,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,6.455619812,7.08810997,7.802330017,8.217260361,8.278980255,8.466560364,10.96280003,10.87047958,11.2731514,105502
Cote d'Ivoire,CIV,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,8.300003052,,,,,8.300003052,,,,
Cote d'Ivoire,CIV,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.MA,79.19621277,,,,,78.97966766,,,,
Cote d'Ivoire,CIV,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM,79.57325745,,,,,79.88542175,,,,
Cote d'Ivoire,CIV,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.867160022,0.880309999,0.896179974,0.911790013,0.926440001,0.940569997,0.943599999,0.952820003,0.95635885,
Cote d'Ivoire,CIV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,37,,40.74766159,,,87,,40.25508881,,
Cote d'Ivoire,CIV,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,47,,54.73764038,,,76,,58.31827164,,
Cote d'Ivoire,CIV,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,18.75,23.80952454,26.66666603,27.61904716,32.8571434,30.47619057,30,32.8571434,35.84905624,101.6504974
Cote d'Ivoire,CIV,Rule of Law: Standard Error,RL.STD.ERR,0.140561417,0.140393928,0.152782589,0.148249134,0.143012047,0.140278324,0.136406392,0.142813981,0.145413607,6
Cote d'Ivoire,CIV,Rule of Law: Number of Sources,RL.NO.SRC,16,16,15,14,14,15,14,14,14,80.22789001
Cote d'Ivoire,CIV,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,21.4285717,28.09523773,24.76190567,19.52380943,26.41509438,22.64151001,23.11320686,34.90565872,41.98113251,100
Cote d'Ivoire,CIV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.037160635,-0.835078061,-0.909238815,-1.091115832,-0.898008049,-1.036474109,-1.033205271,-0.715018511,-0.516378641,
Cote d'Ivoire,CIV,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,,6.43579099,,,1.908959209,,,,,
Cote d'Ivoire,CIV,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,49.55471976,,,22.35444267,,,,,
Cote d'Ivoire,CIV,Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot,,34.15129173,,,26.1978212,,,,,
Cote d'Ivoire,CIV,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,14.74203535,,,7.113882048,,,,,
Cote d'Ivoire,CIV,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),per_lm_alllm.cov_q2_tot,,,,,,,,,,
Cote d'Ivoire,CIV,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,
Cote d'Ivoire,CIV,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,240.9946172,243.253099,242.3007654,242.6649933,238.7606354,232.1095428,235.6637115,238.5399628,232.5177964,
Cote d'Ivoire,CIV,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,493.75733,591.211698,592.605615,580.65675,555.446458,585.911013,575.586005,554.530675,623.759701,
Cote d'Ivoire,CIV,Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD,-294556153.7,-246002070.5,-343779303.7,-423796259.8,-540327507.1,-527820190.2,-586805441.9,-726052940,-601401468.2,
Cote d'Ivoire,CIV,Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN,,,,,,,,,,
Cote d'Ivoire,CIV,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,23.22143386,22.93674056,22.94151746,19.81831814,18.38028715,19.45135317,18.28348851,19.65510931,18.80587003,
Cote d'Ivoire,CIV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4260,4610,4750,4900,5180,5780,5800,6320,7000,
Cote d'Ivoire,CIV,GNI per capita (current LCU),NY.GNP.PCAP.CN,1029224.65,1122649.393,1158394.66,1191158.924,1239556.669,1315352.44,1313421.584,1423895.642,1503421.59,
Cote d'Ivoire,CIV,GNI (constant LCU),NY.GNP.MKTP.KN,2.4805E+13,2.64909E+13,2.83793E+13,3.02847E+13,3.18055E+13,3.39431E+13,3.40996E+13,3.64637E+13,3.86709E+13,
Cote d'Ivoire,CIV,GNI (current LCU),NY.GNP.MKTP.CN,2.36676E+13,2.64909E+13,2.80489E+13,2.95979E+13,3.16012E+13,3.43932E+13,3.52152E+13,3.91262E+13,4.23372E+13,
