STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,19.09.2015,0,,25.7,,23.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.09.2015,,,27.7,30.4,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.09.2015,,,26.6,30,24
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.09.2015,,,26.6,,24
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,25.09.2015,,,25.4,28.8,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,05.10.2015,,,27.3,31,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.11.2015,,,29.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.11.2015,,,29.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,26.11.2015,,,29.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,27.11.2015,,,30.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,30.11.2015,,,30,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.12.2015,,,28.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.12.2015,,,28.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.12.2015,,,27.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.12.2015,,,28.1,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,16.12.2015,,,28.8,34.8,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.12.2015,,,25.9,,16
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,18.12.2015,,,28.9,32.8,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.12.2015,,,27.1,,18.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.12.2015,,,28.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.12.2015,,,27.7,,16.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,30.12.2015,,,30.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,05.01.2016,,,28,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,06.01.2016,,,28.5,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,08.01.2016,,,23.2,,21.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,10.01.2016,,,29.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.01.2016,,,29.9,,23.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.01.2016,,,27,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.01.2016,,,24.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,31.01.2016,,,24.7,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.02.2016,,,24.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.02.2016,,,30.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,10.02.2016,,,34.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,19.02.2016,,,28.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.02.2016,,,32,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.02.2016,,,33.2,38,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.02.2016,,,31.9,,
